Trip ID,Duration,Start Time,End Time,Starting Station ID,Starting Station Latitude,Starting Station Longitude,Ending Station ID,Ending Station Latitude,Ending Station Longitude,Bike ID,Plan Duration,Trip Route Category,Passholder Type,Starting Lat-Long,Ending Lat-Long
2314100,660,2016-07-10T16:46:00,2016-07-10T16:57:00,3054,34.0392189,-118.23649,3042,34.0493011,-118.23881,6366,30,One Way,Monthly Pass,"{'longitude': '-118.23649', 'latitude': '34.0392189', 'needs_recoding': False}","{'longitude': '-118.23881', 'latitude': '34.0493011', 'needs_recoding': False}"
2314102,660,2016-07-10T16:46:00,2016-07-10T16:57:00,3054,34.0392189,-118.23649,3042,34.0493011,-118.23881,5910,365,One Way,Flex Pass,"{'longitude': '-118.23649', 'latitude': '34.0392189', 'needs_recoding': False}","{'longitude': '-118.23881', 'latitude': '34.0493011', 'needs_recoding': False}"
2321059,1080,2016-07-10T16:49:00,2016-07-10T17:07:00,3074,34.0441704,-118.26117,3075,34.0421104,-118.25619,6237,30,One Way,Monthly Pass,"{'longitude': '-118.26117', 'latitude': '34.0441704', 'needs_recoding': False}","{'longitude': '-118.25619', 'latitude': '34.0421104', 'needs_recoding': False}"
2321058,540,2016-07-10T16:53:00,2016-07-10T17:02:00,3028,34.0583191,-118.24609,3042,34.0493011,-118.23881,5996,365,One Way,Flex Pass,"{'longitude': '-118.24609', 'latitude': '34.0583191', 'needs_recoding': False}","{'longitude': '-118.23881', 'latitude': '34.0493011', 'needs_recoding': False}"
2321053,720,2016-07-10T16:57:00,2016-07-10T17:09:00,3034,34.0420609,-118.26338,3032,34.0498886,-118.25588,5875,30,One Way,Monthly Pass,"{'longitude': '-118.26338', 'latitude': '34.0420609', 'needs_recoding': False}","{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}"
2321057,780,2016-07-10T16:57:00,2016-07-10T17:10:00,3034,34.0420609,-118.26338,3032,34.0498886,-118.25588,6204,30,One Way,Monthly Pass,"{'longitude': '-118.26338', 'latitude': '34.0420609', 'needs_recoding': False}","{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}"
2321055,300,2016-07-10T16:57:00,2016-07-10T17:02:00,3005,34.0485497,-118.25905,3034,34.0420609,-118.26338,6500,30,One Way,Monthly Pass,"{'longitude': '-118.25905', 'latitude': '34.0485497', 'needs_recoding': False}","{'longitude': '-118.26338', 'latitude': '34.0420609', 'needs_recoding': False}"
2321054,1320,2016-07-10T16:57:00,2016-07-10T17:19:00,3035,34.0484009,-118.26095,3038,34.0468216,-118.24835,6554,30,One Way,Monthly Pass,"{'longitude': '-118.26095', 'latitude': '34.0484009', 'needs_recoding': False}","{'longitude': '-118.24835', 'latitude': '34.0468216', 'needs_recoding': False}"
2321056,480,2016-07-10T16:57:00,2016-07-10T17:05:00,3026,34.063179,-118.24588,3068,34.0531998,-118.25095,6209,30,One Way,Monthly Pass,"{'longitude': '-118.24588', 'latitude': '34.063179', 'needs_recoding': False}","{'longitude': '-118.25095', 'latitude': '34.0531998', 'needs_recoding': False}"
2321052,720,2016-07-10T16:58:00,2016-07-10T17:10:00,3032,34.0498886,-118.25588,3047,34.0399818,-118.2664,5748,30,One Way,Monthly Pass,"{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}","{'longitude': '-118.2664', 'latitude': '34.0399818', 'needs_recoding': False}"
2321051,360,2016-07-10T17:00:00,2016-07-10T17:06:00,3031,34.0447006,-118.25244,3032,34.0498886,-118.25588,6038,30,One Way,Monthly Pass,"{'longitude': '-118.25244', 'latitude': '34.0447006', 'needs_recoding': False}","{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}"
2321050,300,2016-07-10T17:00:00,2016-07-10T17:05:00,3031,34.0447006,-118.25244,3032,34.0498886,-118.25588,6583,30,One Way,Monthly Pass,"{'longitude': '-118.25244', 'latitude': '34.0447006', 'needs_recoding': False}","{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}"
2321049,540,2016-07-10T17:03:00,2016-07-10T17:12:00,3021,34.0456085,-118.23703,3058,34.0358009,-118.23317,6042,30,One Way,Monthly Pass,"{'longitude': '-118.23703', 'latitude': '34.0456085', 'needs_recoding': False}","{'longitude': '-118.23317', 'latitude': '34.0358009', 'needs_recoding': False}"
2321047,1080,2016-07-10T17:06:00,2016-07-10T17:24:00,3068,34.0531998,-118.25095,3006,34.0455399,-118.25667,6305,30,One Way,Monthly Pass,"{'longitude': '-118.25095', 'latitude': '34.0531998', 'needs_recoding': False}","{'longitude': '-118.25667', 'latitude': '34.0455399', 'needs_recoding': False}"
2321044,1380,2016-07-10T17:12:00,2016-07-10T17:35:00,3032,34.0498886,-118.25588,3028,34.0583191,-118.24609,5875,30,One Way,Monthly Pass,"{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}","{'longitude': '-118.24609', 'latitude': '34.0583191', 'needs_recoding': False}"
2321045,1380,2016-07-10T17:12:00,2016-07-10T17:35:00,3032,34.0498886,-118.25588,3028,34.0583191,-118.24609,6204,30,One Way,Monthly Pass,"{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}","{'longitude': '-118.24609', 'latitude': '34.0583191', 'needs_recoding': False}"
2321043,840,2016-07-10T17:19:00,2016-07-10T17:33:00,3030,34.0519409,-118.24353,3055,34.0441589,-118.25158,6227,30,One Way,Monthly Pass,"{'longitude': '-118.24353', 'latitude': '34.0519409', 'needs_recoding': False}","{'longitude': '-118.25158', 'latitude': '34.0441589', 'needs_recoding': False}"
2321042,420,2016-07-10T17:22:00,2016-07-10T17:29:00,3032,34.0498886,-118.25588,3074,34.0441704,-118.26117,6325,30,One Way,Monthly Pass,"{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}","{'longitude': '-118.26117', 'latitude': '34.0441704', 'needs_recoding': False}"
2321041,420,2016-07-10T17:23:00,2016-07-10T17:30:00,3032,34.0498886,-118.25588,3074,34.0441704,-118.26117,6262,30,One Way,Monthly Pass,"{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}","{'longitude': '-118.26117', 'latitude': '34.0441704', 'needs_recoding': False}"
2321040,960,2016-07-10T17:26:00,2016-07-10T17:42:00,3037,34.0348015,-118.23128,3029,34.048851,-118.24642,6045,30,One Way,Monthly Pass,"{'longitude': '-118.23128', 'latitude': '34.0348015', 'needs_recoding': False}","{'longitude': '-118.24642', 'latitude': '34.048851', 'needs_recoding': False}"
2321039,900,2016-07-10T17:27:00,2016-07-10T17:42:00,3037,34.0348015,-118.23128,3029,34.048851,-118.24642,5753,30,One Way,Monthly Pass,"{'longitude': '-118.23128', 'latitude': '34.0348015', 'needs_recoding': False}","{'longitude': '-118.24642', 'latitude': '34.048851', 'needs_recoding': False}"
2321038,1140,2016-07-10T17:27:00,2016-07-10T17:46:00,3006,34.0455399,-118.25667,3049,34.0569687,-118.25359,6691,30,One Way,Monthly Pass,"{'longitude': '-118.25667', 'latitude': '34.0455399', 'needs_recoding': False}","{'longitude': '-118.25359', 'latitude': '34.0569687', 'needs_recoding': False}"
2321037,300,2016-07-10T17:29:00,2016-07-10T17:34:00,3027,34.0499802,-118.24716,3067,34.0451813,-118.25024,6096,30,One Way,Monthly Pass,"{'longitude': '-118.24716', 'latitude': '34.0499802', 'needs_recoding': False}","{'longitude': '-118.25024', 'latitude': '34.0451813', 'needs_recoding': False}"
2608358,86400,2016-07-10T17:40:00,2016-07-12T08:18:00,3034,34.0420609,-118.26338,3005,34.0485497,-118.25905,6011,30,One Way,Monthly Pass,"{'longitude': '-118.26338', 'latitude': '34.0420609', 'needs_recoding': False}","{'longitude': '-118.25905', 'latitude': '34.0485497', 'needs_recoding': False}"
2321036,660,2016-07-10T17:42:00,2016-07-10T17:53:00,3053,34.0400391,-118.26302,3038,34.0468216,-118.24835,6292,30,One Way,Monthly Pass,"{'longitude': '-118.26302', 'latitude': '34.0400391', 'needs_recoding': False}","{'longitude': '-118.24835', 'latitude': '34.0468216', 'needs_recoding': False}"
2328020,1020,2016-07-10T17:48:00,2016-07-10T18:05:00,3014,34.0566101,-118.23721,3006,34.0455399,-118.25667,5985,30,One Way,Monthly Pass,"{'longitude': '-118.23721', 'latitude': '34.0566101', 'needs_recoding': False}","{'longitude': '-118.25667', 'latitude': '34.0455399', 'needs_recoding': False}"
2321035,660,2016-07-10T17:48:00,2016-07-10T17:59:00,3065,34.0605583,-118.23833,3049,34.0569687,-118.25359,5960,30,One Way,Monthly Pass,"{'longitude': '-118.23833', 'latitude': '34.0605583', 'needs_recoding': False}","{'longitude': '-118.25359', 'latitude': '34.0569687', 'needs_recoding': False}"
2328018,960,2016-07-10T17:52:00,2016-07-10T18:08:00,3075,34.0421104,-118.25619,3037,34.0348015,-118.23128,5814,30,One Way,Monthly Pass,"{'longitude': '-118.25619', 'latitude': '34.0421104', 'needs_recoding': False}","{'longitude': '-118.23128', 'latitude': '34.0348015', 'needs_recoding': False}"
2328017,1560,2016-07-10T17:55:00,2016-07-10T18:21:00,3028,34.0583191,-118.24609,3005,34.0485497,-118.25905,6118,30,One Way,Monthly Pass,"{'longitude': '-118.24609', 'latitude': '34.0583191', 'needs_recoding': False}","{'longitude': '-118.25905', 'latitude': '34.0485497', 'needs_recoding': False}"
2328016,1500,2016-07-10T17:56:00,2016-07-10T18:21:00,3028,34.0583191,-118.24609,3005,34.0485497,-118.25905,6215,30,One Way,Monthly Pass,"{'longitude': '-118.24609', 'latitude': '34.0583191', 'needs_recoding': False}","{'longitude': '-118.25905', 'latitude': '34.0485497', 'needs_recoding': False}"
2328015,540,2016-07-10T18:07:00,2016-07-10T18:16:00,3032,34.0498886,-118.25588,3067,34.0451813,-118.25024,6234,30,One Way,Monthly Pass,"{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}","{'longitude': '-118.25024', 'latitude': '34.0451813', 'needs_recoding': False}"
